id,tipo_gestion,nivel_educ_madre,iecep,one_alto_cs_nat,one_bajo_cs_nat,one_medio_cs_nat,one_alto_cs_soc,one_bajo_cs_soc,one_medio_cs_soc,one_alto_lengua,one_bajo_lengua,one_medio_lengua,one_alto_mat,one_bajo_mat,one_medio_mat,tasa_repeticion_2012,tasa_sobreedad_2012,tasa_sobreedad_avanzada_2012,promocionados_2011,salidos_sin_pase_2011,ive_2011,domiciliados_pba,extranjeros_2013,inversion_alumnos_2013
206,Privada,6.42,6.63965,0.115,0.459,0.426,0.352,0.315,0.333,0.386,0.175,0.439,0.311,0.066,0.623,2.86533,24.9284,0.573066,93.8596,0,0.0344176,2.9,0.57971,20572
207,Estatal,4.56,5.45123,0.039,0.275,0.686,0.09,0.164,0.746,0.218,0.236,0.545,0.091,0.227,0.682,13.5652,34.7826,10.4348,76.8775,2.70793,0.196423,39.8,4.46281,25169.1
208,Estatal,4.09,5.40759,0.085,0.203,0.712,0.206,0.143,0.651,0.328,0.141,0.531,0.032,0.222,0.746,15.8965,37.7079,12.1996,65.7658,0.34188,0.213637,26.1,9.23623,22300.8
209,Privada,5.97,7.46595,0.227,0.045,0.727,0.444,0.089,0.467,0.41,0.026,0.564,0.452,0,0.548,2.77778,10.0694,1.04167,74.6528,0,0.0434028,0,1.75439,19956.7
210,Privada,6.65,7.76197,0.563,0.021,0.417,0.469,0.02,0.51,0.776,0,0.224,0.739,0.022,0.239,0,1.11524,0,96.0784,0,0.00784314,0,1.13636,25929.2
211,Privada,5.65,6.66725,0.245,0.094,0.66,0.278,0.111,0.611,0.522,0.109,0.37,0.411,0.036,0.554,5.36193,17.1582,3.75335,79.79,0,0.0493707,0,2.40642,18352.7
212,Estatal,3.67,4.78088,0.119,0.299,0.582,0.2,0.231,0.569,0.303,0.227,0.47,0.169,0.2,0.631,29.6537,62.2294,31.4935,73.5705,6.60264,0.382972,33.1,31.2715,29026.2
213,Privada,5.1,4.33251,0.048,0.452,0.5,0.054,0.649,0.297,0.213,0.34,0.447,0.182,0.341,0.477,0,7.48031,0,85.8779,0,0.0996142,12.5,1.42857,17293.2
214,Privada,5.81,5.60683,0.048,0.524,0.429,0.368,0.474,0.158,0.471,0.176,0.353,0.12,0.28,0.6,0,23.2558,3.10078,93.7008,0,0.177409,0,6.25,24996.6
215,Privada,6.71,7.61098,0.354,0.035,0.611,0.302,0.123,0.575,0.639,0,0.361,0.64,0.018,0.342,0.156986,2.82575,0,93.4609,0.475436,0.0208716,0,1.54799,71725.2
216,Privada,5.69,3.32566,0.111,0.5,0.389,0.065,0.355,0.581,0.145,0.246,0.609,0.042,0.366,0.592,3.75276,63.7969,16.777,66.9565,5.53279,0.536368,0,1.8595,12730.6
217,Privada,5.71,5.96929,0.065,0.484,0.452,0.194,0.484,0.323,0.2,0.28,0.52,0.3,0.1,0.6,0,6.46766,0,98.773,0,0.00856339,0,1.83486,14041.7
218,Estatal,3.77,5.99982,0.107,0.357,0.536,0.089,0.232,0.679,0.233,0.117,0.65,0.088,0.211,0.702,13.6035,13.6035,0.289436,63.8681,1.33136,0.177595,36.8,9.95542,23241
219,Estatal,3.64,3.80873,0.036,0.436,0.527,0.17,0.277,0.553,0.074,0.37,0.556,0.064,0.426,0.511,16.4179,52.8785,21.322,67.364,8.20611,0.355983,28,8.47458,32032.6
220,Privada,5.07,5.24357,0,0.2,0.8,0.2,0.267,0.533,0.353,0.118,0.529,0,0.333,0.667,10.4348,30.4348,4.63768,77.4725,1.35501,0.102883,0,7.22543,19203.4
221,Privada,6.64,4.80107,0.143,0.238,0.619,0.3,0.2,0.5,0.316,0.263,0.421,0.211,0.211,0.579,0,16.8067,2.52101,60.9091,0,0.090708,0,3.38983,32986.3
222,Privada,4.39,6.22569,0,0.545,0.455,0.167,0.167,0.667,0.357,0,0.643,0.1,0.1,0.8,13.4615,42.3077,12.8205,78.7671,6.41026,0.191065,10.7,4.69799,16224.2
223,Privada,5.6,7.09558,0.261,0.087,0.652,0.5,0.077,0.423,0.542,0.083,0.375,0.32,0.04,0.64,0,8.02469,1.85185,88.0503,0,0.0553385,2.3,2.84091,14925.6
224,Estatal,4.85,6.62127,0.238,0.286,0.476,0.304,0.13,0.565,0.333,0.033,0.633,0.25,0,0.75,20.7709,66.3812,47.7516,70.6633,14.9028,0.400773,38.5,8.09628,37553.8
225,Privada,6.55,6.20587,0.189,0.34,0.472,0.396,0.151,0.453,0.182,0.273,0.545,0.382,0.109,0.509,0,2.34114,0,95.0178,0.706714,0.0195896,0,2.6393,32844.8
226,Privada,6.24,7.57736,0.4,0.1,0.5,0.519,0.037,0.444,0.76,0,0.24,0.533,0,0.467,0.396825,3.57143,0.396825,99.5305,0,0.00471698,44.2,0.743494,14737.4
227,Privada,5.44,4.65407,0.143,0.143,0.714,0.167,0.167,0.667,0.143,0.286,0.571,0,0.286,0.714,22.3684,61.8421,22.3684,75.5556,1.08696,0.232842,0,6.17284,17622.1
228,Privada,5.13,5.77228,0.159,0.136,0.705,0.227,0.068,0.705,0.273,0.045,0.682,0.071,0.214,0.714,17.5439,60.7018,22.807,72.1429,2.12766,0.277136,0.8,7.27969,15806.9
229,Privada,6.55,6.28675,0.077,0.308,0.615,0.462,0,0.538,0.5,0.214,0.286,0.462,0.154,0.385,0,2.12766,0,100,0,0.0058997,3.1,4.12371,79262.9
230,Estatal,4.25,5.18618,0.102,0.299,0.598,0.254,0.216,0.53,0.254,0.195,0.551,0.102,0.266,0.633,25.2843,63.4296,40.8574,61.4414,10.9589,0.403909,10,23.7302,24575.4
231,Privada,3.2,4.20187,0.091,0.273,0.636,0.043,0.261,0.696,0.158,0.211,0.632,0.095,0.429,0.476,17.0213,46.2766,18.0851,61.1465,11.6667,0.530336,0,51.6746,16141.4
232,Estatal,4.17,3.56518,0.1,0.367,0.533,0.156,0.344,0.5,0.067,0.2,0.733,0.188,0.438,0.375,36.5517,69.8276,29.8276,74.3875,14.1243,0.515107,2.9,17.474,23065
233,Estatal,5.59,5.39025,0.13,0.239,0.63,0.24,0.19,0.57,0.295,0.168,0.537,0.128,0.233,0.64,14.8905,52.1168,23.5036,71.2766,3.30827,0.279143,36.5,4.12371,21233.7
234,Privada,5.79,5.92681,0.243,0.189,0.568,0.417,0.056,0.528,0.4,0.029,0.571,0.258,0.258,0.484,4.35967,13.624,0.27248,88.1356,1.10803,0.0700722,3.5,2.16216,13484.2
235,Privada,6.16,7.09503,0.427,0.042,0.531,0.448,0.072,0.48,0.565,0.081,0.355,0.842,0,0.158,1.73824,57.4642,3.47648,89.2451,3.18408,0.109493,0,0.650759,26265.2
236,Privada,6.5,7.96008,0.364,0.182,0.455,0.333,0.083,0.583,0.889,0,0.111,0.273,0,0.727,1.25,8.75,2.5,92.5926,0,0.0205761,5.6,2.24719,26398.2
